
===============================================================
  LISTADO DE PROPIEDADES DE HUBSPOT
===============================================================


===============================================================
  CONTACTOS (Clientes/Usuarios)
===============================================================

Total propiedades: 482
  - Propiedades por defecto: 482
  - Propiedades custom: 0

PROPIEDADES POR DEFECTO:
------------------------------------------------
NOMBRE INTERNO (API)                     | ETIQUETA (LABEL)                         | TIPO            | GRUPO
hs_object_source_detail_3                | Record source detail 3                   | string          | dealinformation
hs_object_source_id                      | Record creation source ID                | string          | dealinformation
hs_object_source_label                   | Record source                            | enumeration     | dealinformation
hs_object_source_user_id                 | Record creation source user ID           | number          | dealinformation
hs_open_amount_in_home_currency          | Open amount in home currency             | number          | hubspotmetrics
hs_open_deal_create_date                 | Open deal create date                    | number          | dealscripted
hs_owning_teams                          | Owning Teams                             | enumeration     | dealinformation
hs_pinned_engagement_id                  | Pinned Engagement ID                     | number          | dealinformation
hs_predicted_amount                      | The predicted deal amount                | number          | dealinformation
hs_predicted_amount_in_home_currency     | The predicted deal amount in your compan | number          | dealinformation
hs_primary_associated_company            | Primary Associated Company               | number          | dealinformation
hs_priority                              | Priority                                 | enumeration     | dealinformation
hs_projected_amount                      | Weighted amount                          | number          | dealinformation
hs_projected_amount_in_home_currency     | Weighted amount in company currency      | number          | dealinformation
hs_read_only                             | Read only object                         | bool            | dealinformation
hs_sales_email_last_replied              | Recent Sales Email Replied Date          | datetime        | dealinformation
hs_shared_team_ids                       | Shared teams                             | enumeration     | dealinformation
hs_shared_user_ids                       | Shared users                             | enumeration     | dealinformation
hs_source_object_id                      | Source Object ID                         | number          | dealinformation
hs_synced_deal_owner_name_and_email      | HubSpot Sales Lead                       | string          | deal_activity
hs_tag_ids                               | Deal Tags                                | enumeration     | dealinformation
hs_tcv                                   | Total contract value                     | number          | deal_revenue
hs_time_in_28696744                      | Time in 'Validación Del Expediente Comp | number          | deal_activity
hs_time_in_28698255                      | Time in 'Oferta Enviada (Xante Embudo de | number          | deal_activity
hs_time_in_30519634                      | Time in 'Firma de contrato y poder (Xant | number          | deal_activity
hs_time_in_31248046                      | Time in 'PI Por Autorizar (Xante Embudo  | number          | deal_activity
hs_time_in_31248047                      | Time in 'Cita para firma y recepción (X | number          | deal_activity
hs_time_in_38447451                      | Time in 'Oferta no autorizada (Xante Emb | number          | deal_activity
hs_time_in_38447452                      | Time in 'Oferta aceptada (Xante Embudo d | number          | deal_activity
hs_time_in_38447453                      | Time in 'Vivienda no disponible (Xante E | number          | deal_activity
hs_time_in_38470265                      | Time in 'Firma de acuerdo de comercializ | number          | deal_activity
hs_time_in_70675091                      | Time in 'Visita Técnica (Pipeline Xante | number          | deal_activity
hs_time_in_70675092                      | Time in 'En Comité (Pipeline Xante (fas | number          | deal_activity
hs_time_in_70675093                      | Time in 'Oferta Enviada (Pipeline Xante  | number          | deal_activity
hs_time_in_70675094                      | Time in 'Validación jurídica (Pipeline | number          | deal_activity
hs_time_in_70675096                      | Time in 'Ganado: Compras y Convenios (Pi | number          | deal_activity
hs_time_in_70675097                      | Time in 'Perdidos: Vivienda rechazada (P | number          | deal_activity
hs_time_in_70675101                      | Time in 'Perdidos: Vivienda no disponibl | number          | deal_activity
hs_time_in_76299031                      | Time in 'Apartada (Pipeline Xante (fase2 | number          | deal_activity
hs_time_in_76299035                      | Time in 'Ganada escriturada (Pipeline Xa | number          | deal_activity
hs_time_in_76355457                      | Time in 'Perdido: Venta cancelada (Pipel | number          | deal_activity
hs_time_in_84258662                      | Time in 'Validación de expediente (Pipe | number          | deal_activity
hs_time_in_84258663                      | Time in 'Avalúo (Pipeline Xante (fase2) | number          | deal_activity
hs_time_in_84258664                      | Time in 'Inscripción del crédito (Pipe | number          | deal_activity
hs_time_in_84258665                      | Time in 'En Notaría (Pipeline Xante (fa | number          | deal_activity
hs_unique_creation_key                   | Unique creation key                      | string          | dealinformation
hs_updated_by_user_id                    | Updated by user ID                       | number          | dealinformation
hs_user_ids_of_all_notification_follower | User IDs of all notification followers   | enumeration     | dealinformation
hs_user_ids_of_all_notification_unfollow | User IDs of all notification unfollowers | enumeration     | dealinformation
hs_user_ids_of_all_owners                | User IDs of all owners                   | enumeration     | dealinformation
hs_v2_average_deal_owner_duration_in_cur | V2 Average Deal Owner Duration In Curren | number          | dealscripted
hs_v2_cumulative_time_in_28696744        | Cumulative time in "Validación Del Expe | number          | dealstages
hs_v2_cumulative_time_in_28698255        | Cumulative time in "Oferta Enviada (Xant | number          | dealstages
hs_v2_cumulative_time_in_30519634        | Cumulative time in "Firma de contrato y  | number          | dealstages
hs_v2_cumulative_time_in_31248046        | Cumulative time in "PI Por Autorizar (Xa | number          | dealstages
hs_v2_cumulative_time_in_31248047        | Cumulative time in "Cita para firma y re | number          | dealstages
hs_v2_cumulative_time_in_38447451        | Cumulative time in "Oferta no autorizada | number          | dealstages
hs_v2_cumulative_time_in_38447452        | Cumulative time in "Oferta aceptada (Xan | number          | dealstages
hs_v2_cumulative_time_in_38447453        | Cumulative time in "Vivienda no disponib | number          | dealstages
hs_v2_cumulative_time_in_38470265        | Cumulative time in "Firma de acuerdo de  | number          | dealstages
hs_v2_cumulative_time_in_70675091        | Cumulative time in "Visita Técnica (Pip | number          | dealstages
hs_v2_cumulative_time_in_70675092        | Cumulative time in "En Comité (Pipeline | number          | dealstages
hs_v2_cumulative_time_in_70675093        | Cumulative time in "Oferta Enviada (Pipe | number          | dealstages
hs_v2_cumulative_time_in_70675094        | Cumulative time in "Validación jurídic | number          | dealstages
hs_v2_cumulative_time_in_70675096        | Cumulative time in "Ganado: Compras y Co | number          | dealstages
hs_v2_cumulative_time_in_70675097        | Cumulative time in "Perdidos: Vivienda r | number          | dealstages
hs_v2_cumulative_time_in_70675101        | Cumulative time in "Perdidos: Vivienda n | number          | dealstages
hs_v2_cumulative_time_in_76299031        | Cumulative time in "Apartada (Pipeline X | number          | dealstages
hs_v2_cumulative_time_in_76299035        | Cumulative time in "Ganada escriturada ( | number          | dealstages
hs_v2_cumulative_time_in_76355457        | Cumulative time in "Perdido: Venta cance | number          | dealstages
hs_v2_cumulative_time_in_84258662        | Cumulative time in "Validación de exped | number          | dealstages
hs_v2_cumulative_time_in_84258663        | Cumulative time in "Avalúo (Pipeline Xa | number          | dealstages
hs_v2_cumulative_time_in_84258664        | Cumulative time in "Inscripción del cr� | number          | dealstages
hs_v2_cumulative_time_in_84258665        | Cumulative time in "En Notaría (Pipelin | number          | dealstages
hs_v2_cumulative_time_in_appointmentsche | Cumulative time in "Valoración comercia | number          | dealstages
hs_v2_cumulative_time_in_closedlost      | Cumulative time in "Vivienda rechazada ( | number          | dealstages
hs_v2_cumulative_time_in_closedwon       | Cumulative time in "Inventario (Xante Em | number          | dealstages
hs_v2_cumulative_time_in_presentationsch | Cumulative time in "Recepción De Docume | number          | dealstages
hs_v2_cumulative_time_in_qualifiedtobuy  | Cumulative time in "Visita Técnica (Xan | number          | dealstages
hs_v2_date_entered_28696744              | Date entered "Validación Del Expediente | datetime        | dealstages
hs_v2_date_entered_28698255              | Date entered "Oferta Enviada (Xante Embu | datetime        | dealstages
hs_v2_date_entered_30519634              | Date entered "Firma de contrato y poder  | datetime        | dealstages
hs_v2_date_entered_31248046              | Date entered "PI Por Autorizar (Xante Em | datetime        | dealstages
hs_v2_date_entered_31248047              | Date entered "Cita para firma y recepci� | datetime        | dealstages
hs_v2_date_entered_38447451              | Date entered "Oferta no autorizada (Xant | datetime        | dealstages
hs_v2_date_entered_38447452              | Date entered "Oferta aceptada (Xante Emb | datetime        | dealstages
hs_v2_date_entered_38447453              | Date entered "Vivienda no disponible (Xa | datetime        | dealstages
hs_v2_date_entered_38470265              | Date entered "Firma de acuerdo de comerc | datetime        | dealstages
hs_v2_date_entered_70675091              | Date entered "Visita Técnica (Pipeline  | datetime        | dealstages
hs_v2_date_entered_70675092              | Date entered "En Comité (Pipeline Xante | datetime        | dealstages
hs_v2_date_entered_70675093              | Date entered "Oferta Enviada (Pipeline X | datetime        | dealstages
hs_v2_date_entered_70675094              | Date entered "Validación jurídica (Pip | datetime        | dealstages
hs_v2_date_entered_70675096              | Date entered "Ganado: Compras y Convenio | datetime        | dealstages
hs_v2_date_entered_70675097              | Date entered "Perdidos: Vivienda rechaza | datetime        | dealstages
hs_v2_date_entered_70675101              | Date entered "Perdidos: Vivienda no disp | datetime        | dealstages
hs_v2_date_entered_76299031              | Date entered "Apartada (Pipeline Xante ( | datetime        | dealstages
hs_v2_date_entered_76299035              | Date entered "Ganada escriturada (Pipeli | datetime        | dealstages
hs_v2_date_entered_76355457              | Date entered "Perdido: Venta cancelada ( | datetime        | dealstages
hs_v2_date_entered_84258662              | Date entered "Validación de expediente  | datetime        | dealstages
hs_v2_date_entered_84258663              | Date entered "Avalúo (Pipeline Xante (f | datetime        | dealstages
hs_v2_date_entered_84258664              | Date entered "Inscripción del crédito  | datetime        | dealstages
hs_v2_date_entered_84258665              | Date entered "En Notaría (Pipeline Xant | datetime        | dealstages
hs_v2_date_entered_appointmentscheduled  | Date entered "Valoración comercial (Xan | datetime        | dealstages
hs_v2_date_entered_closedlost            | Date entered "Vivienda rechazada (Xante  | datetime        | dealstages
hs_v2_date_entered_closedwon             | Date entered "Inventario (Xante Embudo d | datetime        | dealstages
hs_v2_date_entered_current_stage         | Date entered current stage               | datetime        | dealstages
hs_v2_date_entered_presentationscheduled | Date entered "Recepción De Documentos ( | datetime        | dealstages
hs_v2_date_entered_qualifiedtobuy        | Date entered "Visita Técnica (Xante Emb | datetime        | dealstages
hs_v2_date_exited_28696744               | Date exited "Validación Del Expediente  | datetime        | dealstages
hs_v2_date_exited_28698255               | Date exited "Oferta Enviada (Xante Embud | datetime        | dealstages
hs_v2_date_exited_30519634               | Date exited "Firma de contrato y poder ( | datetime        | dealstages
hs_v2_date_exited_31248046               | Date exited "PI Por Autorizar (Xante Emb | datetime        | dealstages
hs_v2_date_exited_31248047               | Date exited "Cita para firma y recepció | datetime        | dealstages
hs_v2_date_exited_38447451               | Date exited "Oferta no autorizada (Xante | datetime        | dealstages
hs_v2_date_exited_38447452               | Date exited "Oferta aceptada (Xante Embu | datetime        | dealstages
hs_v2_date_exited_38447453               | Date exited "Vivienda no disponible (Xan | datetime        | dealstages
hs_v2_date_exited_38470265               | Date exited "Firma de acuerdo de comerci | datetime        | dealstages
hs_v2_date_exited_70675091               | Date exited "Visita Técnica (Pipeline X | datetime        | dealstages
hs_v2_date_exited_70675092               | Date exited "En Comité (Pipeline Xante  | datetime        | dealstages
hs_v2_date_exited_70675093               | Date exited "Oferta Enviada (Pipeline Xa | datetime        | dealstages
hs_v2_date_exited_70675094               | Date exited "Validación jurídica (Pipe | datetime        | dealstages
hs_v2_date_exited_70675096               | Date exited "Ganado: Compras y Convenios | datetime        | dealstages
hs_v2_date_exited_70675097               | Date exited "Perdidos: Vivienda rechazad | datetime        | dealstages
hs_v2_date_exited_70675101               | Date exited "Perdidos: Vivienda no dispo | datetime        | dealstages
hs_v2_date_exited_76299031               | Date exited "Apartada (Pipeline Xante (f | datetime        | dealstages
hs_v2_date_exited_76299035               | Date exited "Ganada escriturada (Pipelin | datetime        | dealstages
hs_v2_date_exited_76355457               | Date exited "Perdido: Venta cancelada (P | datetime        | dealstages
hs_v2_date_exited_84258662               | Date exited "Validación de expediente ( | datetime        | dealstages
hs_v2_date_exited_84258663               | Date exited "Avalúo (Pipeline Xante (fa | datetime        | dealstages
hs_v2_date_exited_84258664               | Date exited "Inscripción del crédito ( | datetime        | dealstages
hs_v2_date_exited_84258665               | Date exited "En Notaría (Pipeline Xante | datetime        | dealstages
hs_v2_date_exited_appointmentscheduled   | Date exited "Valoración comercial (Xant | datetime        | dealstages
hs_v2_date_exited_closedlost             | Date exited "Vivienda rechazada (Xante E | datetime        | dealstages
hs_v2_date_exited_closedwon              | Date exited "Inventario (Xante Embudo de | datetime        | dealstages
hs_v2_date_exited_presentationscheduled  | Date exited "Recepción De Documentos (X | datetime        | dealstages
hs_v2_date_exited_qualifiedtobuy         | Date exited "Visita Técnica (Xante Embu | datetime        | dealstages
hs_v2_is_stalled                         | V2 Is Stalled                            | bool            | dealscripted
hs_v2_is_stalled_after_timestamp         | V2 Is Stalled After Timestamp            | datetime        | dealscripted
hs_v2_latest_time_in_28696744            | Latest time in "Validación Del Expedien | number          | dealstages
hs_v2_latest_time_in_28698255            | Latest time in "Oferta Enviada (Xante Em | number          | dealstages
hs_v2_latest_time_in_30519634            | Latest time in "Firma de contrato y pode | number          | dealstages
hs_v2_latest_time_in_31248046            | Latest time in "PI Por Autorizar (Xante  | number          | dealstages
hs_v2_latest_time_in_31248047            | Latest time in "Cita para firma y recepc | number          | dealstages
hs_v2_latest_time_in_38447451            | Latest time in "Oferta no autorizada (Xa | number          | dealstages
hs_v2_latest_time_in_38447452            | Latest time in "Oferta aceptada (Xante E | number          | dealstages
hs_v2_latest_time_in_38447453            | Latest time in "Vivienda no disponible ( | number          | dealstages
hs_v2_latest_time_in_38470265            | Latest time in "Firma de acuerdo de come | number          | dealstages
hs_v2_latest_time_in_70675091            | Latest time in "Visita Técnica (Pipelin | number          | dealstages
hs_v2_latest_time_in_70675092            | Latest time in "En Comité (Pipeline Xan | number          | dealstages
hs_v2_latest_time_in_70675093            | Latest time in "Oferta Enviada (Pipeline | number          | dealstages
hs_v2_latest_time_in_70675094            | Latest time in "Validación jurídica (P | number          | dealstages
hs_v2_latest_time_in_70675096            | Latest time in "Ganado: Compras y Conven | number          | dealstages
hs_v2_latest_time_in_70675097            | Latest time in "Perdidos: Vivienda recha | number          | dealstages
hs_v2_latest_time_in_70675101            | Latest time in "Perdidos: Vivienda no di | number          | dealstages
hs_v2_latest_time_in_76299031            | Latest time in "Apartada (Pipeline Xante | number          | dealstages
hs_v2_latest_time_in_76299035            | Latest time in "Ganada escriturada (Pipe | number          | dealstages
hs_v2_latest_time_in_76355457            | Latest time in "Perdido: Venta cancelada | number          | dealstages
hs_v2_latest_time_in_84258662            | Latest time in "Validación de expedient | number          | dealstages
hs_v2_latest_time_in_84258663            | Latest time in "Avalúo (Pipeline Xante  | number          | dealstages
hs_v2_latest_time_in_84258664            | Latest time in "Inscripción del crédit | number          | dealstages
hs_v2_latest_time_in_84258665            | Latest time in "En Notaría (Pipeline Xa | number          | dealstages
hs_v2_latest_time_in_appointmentschedule | Latest time in "Valoración comercial (X | number          | dealstages
hs_v2_latest_time_in_closedlost          | Latest time in "Vivienda rechazada (Xant | number          | dealstages
hs_v2_latest_time_in_closedwon           | Latest time in "Inventario (Xante Embudo | number          | dealstages
hs_v2_latest_time_in_presentationschedul | Latest time in "Recepción De Documentos | number          | dealstages
hs_v2_latest_time_in_qualifiedtobuy      | Latest time in "Visita Técnica (Xante E | number          | dealstages
hs_v2_time_in_current_stage              | Time in current stage                    | datetime        | dealstages
hs_was_imported                          | Performed in an import                   | bool            | dealinformation
hs_weighted_pipeline_in_company_currency | Weighted open pipeline in company curren | number          | hubspotmetrics
hubspot_owner_assigneddate               | Owner assigned date                      | datetime        | deal_activity
hubspot_owner_id                         | Deal owner                               | enumeration     | dealinformation
hubspot_team_id                          | HubSpot Team                             | enumeration     | dealinformation
infonavit_tipo_de_financiamiento         | Infonavit-Tipo de financiamiento         | enumeration     | dealinformation
instruccion_notarial                     | Instrucción Notarial / Fecha de dictami | enumeration     | dealinformation
medio_de_comercializacion                | Medio de comercialización               | enumeration     | dealinformation
medios_banos                             | Medios baños*                           | number          | dealinformation
monto_de_deposito                        | Monto de depósito                       | number          | dealinformation
motivo_de_cierre_ganado                  | Motivo de cierre ganado                  | enumeration     | dealinformation
motivo_de_compra                         | Motivo de compra                         | string          | dealinformation
motivo_de_la_venta                       | Motivo de la venta                       | enumeration     | dealinformation
motivo_de_rechazo_o_perdido              | Motivo de rechazo o perdido              | enumeration     | dealinformation
niveles_casa                             | Niveles Casa*                            | number          | dealinformation
nombre_del_desarrollo                    | Nombre del desarrollo                    | enumeration     | dealinformation
nombre_del_titular                       | Nombre del titular                       | string          | dealinformation
nombre_inmueble                          | Nombre inmueble (supervisor)             | string          | dealinformation
notaria_asignada                         | Notaría asignada                        | string          | dealinformation
notes_last_contacted                     | Last Contacted                           | datetime        | deal_activity
notes_last_updated                       | Last Activity Date                       | datetime        | deal_activity
notes_next_activity_date                 | Next Activity Date                       | datetime        | deal_activity
notificacion_de_descuento                | Notificación de descuento               | enumeration     | dealinformation
num_associated_contacts                  | Number of Associated Contacts            | number          | dealinformation
num_contacted_notes                      | Number of times contacted                | number          | deal_activity
num_notes                                | Number of Sales Activities               | number          | deal_activity
numero_exterior                          | Número Exterior                         | number          | dealinformation
pipeline                                 | Pipeline                                 | enumeration     | deal_activity
piso_departamento                        | Piso Departamento*                       | number          | dealinformation
precio_comercial                         | Precio comercial (supervisor)            | number          | dealinformation
recamaras                                | Recámaras*                              | number          | dealinformation
recepcion_de_ficha_de_deposito           | Recepción de ficha de depósito         | enumeration     | dealinformation
recibo_predial                           | Recibo predial                           | enumeration     | dealinformation
se_adjunta_contrato_y_o_convenio         | Se adjunta contrato y/o convenio         | enumeration     | dealinformation
solicitud_numeros_finales                | Solicitud números finales               | datetime        | dealinformation
state                                    | Estado/región*                          | string          | dealinformation
superficie_habitable                     | Superficie Habitable*                    | number          | dealinformation
terraza_y_o_jardin                       | Terraza y/o jardín                      | enumeration     | dealinformation
tiempo_transcurrido                      | tiempo_transcurrido                      | number          | dealinformation
tipo_de_credito                          | Tipo de crédito                         | enumeration     | dealinformation
tipo_de_equipamiento                     | Tipo de equipamiento*                    | enumeration     | dealinformation
tipo_de_hipoteca                         | Tipo de hipoteca                         | enumeration     | dealinformation
tipo_de_inmueble_                        | Tipo de inmueble*                        | enumeration     | dealinformation
venta_cancelada                          | Venta cancelada                          | enumeration     | dealinformation
vobo_juridico                            | VoBo jurídico                           | date            | dealinformation
zip                                      | zip                                      | number          | dealinformation


===============================================================
  FIN DEL LISTADO
===============================================================

